datetime,pm2_5,pm10,no2,so2,o3,co,aqi_index
2024-10-11 14:00:00+00:00,95.93,154.55,42.84,7.33,114.44,1134.87,5
2024-10-11 15:00:00+00:00,87.94,147.31,38.39,7.63,104.43,1041.41,5
2024-10-11 16:00:00+00:00,90.95,154.39,50.04,9.42,79.39,1295.09,5
2024-10-11 17:00:00+00:00,100.75,170.02,68.55,11.92,48.64,1708.98,5
2024-10-11 18:00:00+00:00,118.57,193.25,89.11,15.26,22.35,2216.34,5
2024-10-11 19:00:00+00:00,128.95,204.97,101.45,16.69,5.14,2590.18,5
2024-10-11 20:00:00+00:00,112.58,179.87,90.48,13.71,7.69,2243.04,5
2024-10-11 21:00:00+00:00,93.83,153.55,56.89,10.49,38.98,1508.71,5
2024-10-11 22:00:00+00:00,88.97,145.61,33.24,8.94,62.94,1081.47,5
2024-10-11 23:00:00+00:00,102.09,158.26,33.93,10.37,53.64,1201.63,5
2024-10-12 00:00:00+00:00,125.67,183.5,43.53,15.97,38.27,1602.17,5
2024-10-12 01:00:00+00:00,166.39,228.77,63.06,24.8,20.92,2376.56,5
2024-10-12 02:00:00+00:00,218.31,286.84,91.85,29.09,3.76,3471.37,5
2024-10-12 03:00:00+00:00,268.89,350.46,108.3,30.52,5.99,4859.92,5
2024-10-12 04:00:00+00:00,248.33,340.15,100.08,25.99,24.68,4646.3,5
2024-10-12 05:00:00+00:00,210.43,309.43,95.96,22.41,58.65,4058.84,5
2024-10-12 06:00:00+00:00,184.63,285.45,78.83,20.03,135.9,3257.75,5
2024-10-12 07:00:00+00:00,184.17,286.18,64.43,21.46,214.58,2750.4,5
2024-10-12 08:00:00+00:00,195.37,304.19,68.55,18.84,263.21,2803.8,5
2024-10-12 09:00:00+00:00,174.44,273,74.03,17.17,246.05,2563.48,5
2024-10-12 10:00:00+00:00,129.33,201.49,70.6,12.28,167.37,2002.72,5
2024-10-12 11:00:00+00:00,88.37,139.37,53.47,7.63,90.12,1361.85,5
2024-10-12 12:00:00+00:00,70.17,112.71,41.81,5.13,57.22,988.01,4
2024-10-12 13:00:00+00:00,66.1,106.63,50.04,4.71,36.12,1001.36,4
2024-10-12 14:00:00+00:00,69.92,112.2,67.17,5.9,9.12,1308.44,4
2024-10-12 15:00:00+00:00,76.84,122.61,65.8,7.51,1.83,1468.66,5
2024-10-12 16:00:00+00:00,88.59,139.24,64.43,10.13,0.34,1735.69,5
2024-10-12 17:00:00+00:00,97.32,152.27,63.06,11.92,0.14,1895.9,5
2024-10-12 18:00:00+00:00,107.92,168.11,61.69,13.83,0.05,2082.82,5
2024-10-12 19:00:00+00:00,109.16,171.72,61.69,13.83,0.03,2136.23,5
2024-10-12 20:00:00+00:00,101.4,160.59,61.69,11.92,0.04,2002.72,5
2024-10-12 21:00:00+00:00,103.68,159.14,63.06,11.44,0.04,2029.42,5
2024-10-12 22:00:00+00:00,115.31,166.22,63.06,11.21,0.06,2136.23,5
2024-10-12 23:00:00+00:00,115.48,162.15,57.58,10.01,0.28,1949.31,5
2024-10-13 00:00:00+00:00,107.52,151.97,50.04,9.06,2.15,1642.23,5
2024-10-13 01:00:00+00:00,105.09,149.48,47.3,10.01,5.41,1522.06,5
2024-10-13 02:00:00+00:00,109.88,157.16,54.15,13.23,4.52,1682.28,5
2024-10-13 03:00:00+00:00,129.22,182.67,71.29,20.5,3.58,2429.96,5
2024-10-13 04:00:00+00:00,158.83,219.88,97.33,33.38,6.62,3738.4,5
2024-10-13 05:00:00+00:00,210.1,281.89,127.49,48.64,8.49,5607.6,5
2024-10-13 06:00:00+00:00,252.95,334.61,168.62,59.6,14.84,6622.31,5
2024-10-13 07:00:00+00:00,235.35,318.29,189.19,53.41,18.78,5607.6,5
2024-10-13 08:00:00+00:00,181.87,257.54,161.77,38.62,33.26,3952.03,5
2024-10-13 09:00:00+00:00,136.6,203.03,127.49,26.94,52.21,2937.32,5
2024-10-13 10:00:00+00:00,92.23,146.16,94.59,16.93,57.94,2082.82,5
2024-10-13 11:00:00+00:00,66.1,111.01,66.49,9.89,50.07,1388.55,4
2024-10-13 12:00:00+00:00,55.39,96.95,43.53,5.96,52.93,894.55,4
2024-10-13 13:00:00+00:00,51.2,89.51,31.53,4.59,61.51,694.27,4
2024-10-13 14:00:00+00:00,52.6,90.17,42.84,5.13,45.78,854.49,4
2024-10-13 15:00:00+00:00,55.69,94.06,46.61,6.02,37.55,947.95,4
2024-10-13 16:00:00+00:00,62.53,103.06,52.78,7.99,27.18,1134.87,4
2024-10-13 17:00:00+00:00,74.56,116.9,63.06,10.49,13.41,1441.96,4
2024-10-13 18:00:00+00:00,94.26,139.1,72.66,13.59,3.26,1895.9,5
2024-10-13 19:00:00+00:00,101.22,146.08,70.6,13.83,0.46,2056.12,5
2024-10-13 20:00:00+00:00,91.6,133.47,63.06,12.16,0.36,1869.2,5
2024-10-13 21:00:00+00:00,84.22,124.17,55.52,12.28,0.78,1615.52,5
2024-10-13 22:00:00+00:00,74.78,113.3,42.5,11.68,7.78,1255.04,4
2024-10-13 23:00:00+00:00,69.46,108.45,29.82,11.32,23.6,1001.36,4
2024-10-14 00:00:00+00:00,71.61,112.66,26.73,12.4,33.97,988.01,4
2024-10-14 01:00:00+00:00,80.24,124.49,32.22,15.5,35.41,1174.93,5
2024-10-14 02:00:00+00:00,96.83,146.1,52.09,20.27,27.54,1642.23,5
2024-10-14 03:00:00+00:00,132.05,190.14,97.33,27.66,6.08,2777.1,5
2024-10-14 04:00:00+00:00,154.41,221.95,126.12,35.76,5.5,3845.21,5
2024-10-14 05:00:00+00:00,151.89,228.33,124.75,39.58,9.12,4058.84,5
2024-10-14 06:00:00+00:00,131.09,209.64,105.56,42.92,20.38,3257.75,5
2024-10-14 07:00:00+00:00,77.08,128.18,59.63,47.21,65.09,1628.88,5
2024-10-14 08:00:00+00:00,75.66,124.56,66.49,62.94,77.25,1735.69,5
2024-10-14 09:00:00+00:00,71.88,116.29,77.46,72.48,87.26,1869.2,4
2024-10-14 10:00:00+00:00,65.41,104.51,82.94,70.57,83.68,1922.61,4
2024-10-14 11:00:00+00:00,56.51,92.09,72.66,61.99,77.96,1695.63,4
2024-10-14 12:00:00+00:00,49.25,82.94,53.47,52.45,87.98,1268.39,3
2024-10-14 13:00:00+00:00,51.45,86.63,55.52,46.73,85.12,1308.44,4
2024-10-14 14:00:00+00:00,62.19,102.43,81.57,43.87,55.79,1842.5,4
2024-10-14 15:00:00+00:00,74.08,121.16,95.96,41.01,38.27,2189.64,4
2024-10-14 16:00:00+00:00,86.44,142.48,95.96,38.15,30.76,2323.15,5
2024-10-14 17:00:00+00:00,94.8,157,89.11,33.38,30.04,2216.34,5
2024-10-14 18:00:00+00:00,93.36,150.76,69.23,24.32,42.2,1815.8,5
2024-10-14 19:00:00+00:00,76.25,118.21,42.5,14.07,65.09,1201.63,5
2024-10-14 20:00:00+00:00,61.98,92.39,28.1,9.54,76.53,867.84,4
2024-10-14 21:00:00+00:00,58.58,84.51,20.05,8.82,82.25,754.36,4
2024-10-14 22:00:00+00:00,71.78,99.99,21.59,11.09,78.68,961.3,4
2024-10-14 23:00:00+00:00,99.67,132.41,34.62,15.26,60.08,1482.01,5
2024-10-15 00:00:00+00:00,130.55,168.56,55.52,21.22,32.9,2136.23,5
2024-10-15 01:00:00+00:00,146.09,190.03,78.83,27.42,7.78,2696.99,5
2024-10-15 02:00:00+00:00,147.18,196.04,85,32.42,0.28,3044.13,5
2024-10-15 03:00:00+00:00,174.68,233.48,91.85,40.53,1.56,4165.65,5
2024-10-15 04:00:00+00:00,208.45,282.75,102.82,49.59,5.19,5714.42,5
2024-10-15 05:00:00+00:00,224.05,312.98,134.35,52.93,14.31,6408.69,5
2024-10-15 06:00:00+00:00,242.42,343.89,175.48,52.93,55.07,5981.45,5
2024-10-15 07:00:00+00:00,235.59,333.79,143.95,59.6,163.08,4272.46,5
2024-10-15 08:00:00+00:00,312.49,421.8,134.35,51.98,271.8,4165.65,5
2024-10-15 09:00:00+00:00,337.71,443.05,105.56,40.05,363.35,3524.78,5
2024-10-15 10:00:00+00:00,282.35,358.79,78.83,29.09,371.93,2616.88,5
2024-10-15 11:00:00+00:00,193.44,242.9,58.95,20.5,300.41,1922.61,5
2024-10-15 12:00:00+00:00,139.64,176.64,43.87,14.9,231.74,1455.31,5
2024-10-15 13:00:00+00:00,120.85,153.35,31.53,13.23,205.99,1188.28,5
2024-10-15 14:00:00+00:00,123.94,157.59,31.87,13.11,188.83,1228.33,5
2024-10-15 15:00:00+00:00,118.2,151.24,27.76,11.92,174.52,1121.52,5
2024-10-15 16:00:00+00:00,109.72,141,25.02,10.97,160.22,1068.12,5
2024-10-15 17:00:00+00:00,103.42,133.37,20.56,9.78,153.06,974.66,5
2024-10-15 18:00:00+00:00,102,132.01,17.99,9.06,150.2,921.25,5
2024-10-15 19:00:00+00:00,100,130.91,16.11,7.99,144.48,847.82,5
2024-10-15 20:00:00+00:00,91.86,123.34,13.54,6.74,133.04,727.65,5
2024-10-15 21:00:00+00:00,81.41,113.5,10.37,6.2,120.16,627.52,5
2024-10-15 22:00:00+00:00,73.69,105.93,7.97,5.6,110.15,560.76,4
2024-10-15 23:00:00+00:00,72.01,104.77,7.03,5.19,104.43,540.73,4
2024-10-16 00:00:00+00:00,72.4,104.99,7.03,5.25,104.43,554.08,4
2024-10-16 01:00:00+00:00,72.65,104.84,9.42,6.2,100.14,607.49,4
2024-10-16 02:00:00+00:00,74.7,107.09,16.11,7.75,91.55,734.33,4
2024-10-16 03:00:00+00:00,83.38,118.93,34.96,10.73,74.39,1068.12,5
2024-10-16 04:00:00+00:00,89.13,126.66,50.04,13.71,65.09,1401.9,5
2024-10-16 05:00:00+00:00,85.53,122.42,43.18,13.35,82.25,1268.39,5
2024-10-16 06:00:00+00:00,77.47,111.34,26.05,11.09,117.3,907.9,5
2024-10-16 07:00:00+00:00,61.09,87.7,13.02,6.91,131.61,640.87,4
2024-10-16 08:00:00+00:00,59.58,85.54,12.17,5.54,127.32,640.87,4
2024-10-16 09:00:00+00:00,61.21,88.42,14.05,4.95,118.73,667.57,4
2024-10-16 10:00:00+00:00,61.58,89.96,15.08,4.29,107.29,674.25,4
2024-10-16 11:00:00+00:00,59.49,86.59,16.28,4.11,94.41,674.25,4
2024-10-16 12:00:00+00:00,55.87,80.23,19.54,3.93,80.82,687.6,4
2024-10-16 13:00:00+00:00,53.87,76.66,28.45,4.17,62.94,774.38,4
2024-10-16 14:00:00+00:00,53.49,76.16,31.19,4.23,54.36,814.44,4
2024-10-16 15:00:00+00:00,52.77,76.02,26.39,4.17,57.94,774.38,4
2024-10-16 16:00:00+00:00,51.09,74.75,21.93,4.41,62.23,747.68,4
2024-10-16 17:00:00+00:00,46.58,68.7,16.28,4.05,67.95,667.57,3
2024-10-16 18:00:00+00:00,43.29,63.99,12.68,3.7,72.96,614.17,3
2024-10-16 19:00:00+00:00,41.44,61.96,10.2,3.07,77.25,560.76,3
2024-10-16 20:00:00+00:00,40.56,62,8.05,2.65,80.82,507.35,3
2024-10-16 21:00:00+00:00,40.66,64.02,5.65,2.68,84.4,467.3,3
2024-10-16 22:00:00+00:00,40.19,66.7,4.2,2.68,87.98,440.6,3
2024-10-16 23:00:00+00:00,39.29,68.63,3.98,2.92,89.41,433.92,3
2024-10-17 00:00:00+00:00,37.68,66.87,4.24,3.34,88.69,433.92,3
