readable_timestamp,unix_timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-04-20 06:00:00,1745110800,4,139.06,0,0.1,104.12,0.67,43.3,198.8,0.01
2025-04-20 07:00:00,1745114400,5,140.64,0,0.12,105.05,0.63,46.99,214.83,0.02
2025-04-20 08:00:00,1745118000,5,141.7,0.01,0.15,105.72,0.59,49.63,224.7,0.03
2025-04-20 09:00:00,1745121600,5,142.31,0.01,0.13,105.72,0.55,51.04,228.1,0.03
2025-04-20 10:00:00,1745125200,5,142.78,0.01,0.1,105.02,0.5,51.65,227.49,0.04
2025-04-20 11:00:00,1745128800,5,143.25,0.01,0.09,103.65,0.46,51.54,224.74,0.04
2025-04-20 12:00:00,1745132400,5,143.71,0.01,0.08,101.3,0.43,50.88,220.78,0.05
2025-04-20 13:00:00,1745136000,5,143.91,0.01,0.07,98.85,0.4,50.27,217.58,0.06
2025-04-20 14:00:00,1745139600,5,144.06,0.01,0.07,96.65,0.37,49.8,214.53,0.07
2025-04-20 15:00:00,1745143200,5,144.24,0.01,0.07,96.1,0.36,49.09,211.72,0.08
2025-04-20 16:00:00,1745146800,5,144.01,0.01,0.08,95.55,0.35,48.46,209.47,0.08
2025-04-20 17:00:00,1745150400,5,143.52,0.01,0.09,95.72,0.34,48.1,208.42,0.08
2025-04-20 18:00:00,1745154000,5,143.7,0.01,0.11,97,0.34,47.82,207.78,0.09
2025-04-20 19:00:00,1745157600,5,143.7,0,0.13,97.25,0.33,47.97,207.35,0.1
2025-04-20 20:00:00,1745161200,5,143.62,0,0.13,97.43,0.32,48.13,206.22,0.1
2025-04-20 21:00:00,1745164800,5,143.15,0,0.13,97.45,0.32,48.1,204.25,0.1
2025-04-20 22:00:00,1745168400,5,143.29,0,0.12,97.41,0.32,48.34,203.19,0.1
2025-04-20 23:00:00,1745172000,5,143.38,0,0.11,97.34,0.31,48.48,201.91,0.1
2025-04-21 00:00:00,1745175600,5,142.98,0,0.11,97.1,0.31,48.62,201.11,0.1
2025-04-21 01:00:00,1745179200,5,142.29,0,0.1,96.79,0.31,48.82,201.13,0.1
2025-04-21 02:00:00,1745182800,5,141.66,0,0.1,96.02,0.31,49.05,201.04,0.09
2025-04-21 03:00:00,1745186400,4,140.78,0,0.09,95.19,0.3,48.91,198.92,0.09
2025-04-21 04:00:00,1745190000,4,139.59,0,0.09,94.84,0.3,48.03,193.25,0.08
2025-04-21 05:00:00,1745193600,4,138.26,0,0.09,95.09,0.3,46.35,185.14,0.09
2025-04-21 06:00:00,1745197200,4,136.22,0,0.08,97.53,0.3,43.48,175.65,0.11
2025-04-21 07:00:00,1745200800,4,135.17,0,0.1,100.29,0.29,41.43,169.8,0.13
2025-04-21 08:00:00,1745204400,4,134.88,0,0.1,101.3,0.28,40.49,167.43,0.14
2025-04-21 09:00:00,1745208000,4,133.66,0.01,0.08,100.72,0.26,39.99,166.29,0.14
2025-04-21 10:00:00,1745211600,4,133.01,0.01,0.06,99.06,0.25,39.73,165.64,0.13
2025-04-21 11:00:00,1745215200,4,132.13,0.01,0.05,96.64,0.24,39.5,165.25,0.13
2025-04-21 12:00:00,1745218800,4,130.87,0.01,0.04,93.71,0.22,39.32,165.48,0.13
2025-04-21 13:00:00,1745222400,4,129.2,0.01,0.04,90.84,0.21,38.84,165.11,0.13
2025-04-21 14:00:00,1745226000,4,127.57,0.01,0.04,88.61,0.2,38.11,164.19,0.14
2025-04-21 15:00:00,1745229600,4,126.58,0.01,0.04,87.18,0.19,37.47,163.4,0.14
2025-04-21 16:00:00,1745233200,4,125.52,0.01,0.04,85.98,0.19,37.08,162.91,0.14
2025-04-21 17:00:00,1745236800,4,124.92,0.01,0.05,85.91,0.18,36.82,162.86,0.15
2025-04-21 18:00:00,1745240400,4,124.89,0,0.06,87.14,0.19,36.69,163.17,0.15
2025-04-21 19:00:00,1745244000,4,124.92,0,0.08,88.09,0.19,36.73,163.47,0.15
2025-04-21 20:00:00,1745247600,4,125.07,0,0.09,88.91,0.2,36.97,164.14,0.15
2025-04-21 21:00:00,1745251200,4,124.96,0,0.09,89.45,0.21,37.36,164.73,0.15
2025-04-21 22:00:00,1745254800,4,125.16,0,0.08,89.62,0.22,37.99,165.39,0.13
2025-04-21 23:00:00,1745258400,4,125.58,0,0.08,89.62,0.24,38.76,165.81,0.12
2025-04-22 00:00:00,1745262000,4,125.8,0,0.08,89.9,0.25,39.29,164.27,0.1
2025-04-22 01:00:00,1745265600,4,126.29,0,0.07,90.12,0.27,39.6,160.38,0.08
2025-04-22 02:00:00,1745269200,4,126.78,0,0.07,89.81,0.28,39.63,154.95,0.06
2025-04-22 03:00:00,1745272800,4,127.07,0,0.07,90,0.29,39.09,149.22,0.05
2025-04-22 04:00:00,1745276400,4,127.65,0,0.07,90.14,0.29,38.64,145.16,0.05
2025-04-22 05:00:00,1745280000,4,128.09,0,0.06,89.81,0.28,38.43,144.42,0.05
